ATM,Mobile,Online,Fee,TotalVolume,TotalRevenue,BranchScore,VolumeNorm,RevenueNorm,BranchNorm,FinalScore,Scenario
0.2,0.4,0.25,0.1,23791.6,2644203.3827992855,0.9702318576118815,1.0,1.0,0.5063149011973889,0.9012629802394778,"ATM+20%
MOB+40%
ONL+25%
Fee+10%"
0.2,0.4,0.1,0.1,23077.0,2565034.0044353143,0.9716653698703309,0.8297192965734168,0.896289747109436,0.7197801273657851,0.8343596429462982,"ATM+20%
MOB+40%
ONL+10%
Fee+10%"
0.2,0.4,0.0,0.1,22600.6,2512254.4188593337,0.972674483505476,0.7161988276223609,0.8271495785157268,0.8700478834217118,0.7913489391395774,"ATM+20%
MOB+40%
ONL+0%
Fee+10%"
0.1,0.4,0.25,0.1,23313.8,2590221.545166105,0.9685636936986526,0.8861459276557214,0.9292849060062559,0.2579075472145725,0.7777538429077054,"ATM+10%
MOB+40%
ONL+25%
Fee+10%"
0.2,0.4,0.25,0.0,23791.6,2403821.25709026,0.9702318576118815,1.0,0.6851043728922376,0.5063149011973889,0.7753047293963728,"ATM+20%
MOB+40%
ONL+25%
Fee+0%"
0.2,0.2,0.25,0.1,22766.599999999995,2530961.08722727,0.9709462884923927,0.7557546585330973,0.8516549282768345,0.6127012600102393,0.7655040867260207,"ATM+20%
MOB+20%
ONL+25%
Fee+10%"
0.2,0.4,0.25,-0.05,23791.6,2283630.1942357467,0.9702318576118815,1.0,0.527656559338356,0.5063149011973889,0.7123256039748203,"ATM+20%
MOB+40%
ONL+25%
Fee+-5%"
0.2,0.4,0.1,0.0,23077.0,2331849.094941195,0.9716653698703309,0.8297192965734168,0.5908223248099065,0.7197801273657851,0.7121726740264863,"ATM+20%
MOB+40%
ONL+10%
Fee+0%"
0.1,0.4,0.1,0.1,22599.2,2511052.1668021334,0.9699693350630382,0.7158652242291383,0.8255746531156912,0.46722250074331,0.7100204510865938,"ATM+10%
MOB+40%
ONL+10%
Fee+10%"
0.2,0.2,0.1,0.1,22051.999999999996,2451791.708863299,0.9724710866689799,0.5854739551065141,0.7479446753862704,0.8397599305641934,0.7013194383099526,"ATM+20%
MOB+20%
ONL+10%
Fee+10%"
